DRG Definition,Provider State, Average Covered Charges ,Average Medicare Payments
316 - FEVER,NM,21037.572468495688,13050.231784377283
317 - BACK PAIN,MS,9542.645673621828,5202.758939367923
315 - HEADACHE,KY,48284.97074265686,8095.727655708595
317 - BACK PAIN,IA,34367.090684694806,7703.4736817058265
317 - BACK PAIN,HI,25524.478699816627,9160.728110502187
314 - ABDOMINAL PAIN,DE,22899.800818896783,12715.047249714635
315 - HEADACHE,WA,19611.74004162188,9643.742615990817
315 - HEADACHE,RI,49165.14179431082,13159.85896202753
315 - HEADACHE,NJ,11063.626930890834,9222.621072827733
317 - BACK PAIN,AZ,19166.227651425572,10246.168382175258
316 - FEVER,KS,26847.393812719856,8248.598909915876
315 - HEADACHE,PA,26509.979527444015,12877.146963547604
317 - BACK PAIN,WI,26211.491798352956,14085.926476375831
314 - ABDOMINAL PAIN,WV,12910.271712367183,10669.736857477747
316 - FEVER,MD,11521.963719927524,12849.389390074846
314 - ABDOMINAL PAIN,IN,16464.541384787903,3708.0400079892033
316 - FEVER,UT,46153.67692109252,13873.341017359891
317 - BACK PAIN,MI,10087.383552552956,5267.100802069495
313 - CHEST PAIN,RI,39084.129651799616,6078.245127909695
316 - FEVER,NV,39089.67769100171,3639.960818480955
314 - ABDOMINAL PAIN,NJ,41439.668175376806,14584.801403688709
317 - BACK PAIN,MA,44897.697004521,13224.130193860516
316 - FEVER,MT,16836.62798925186,13958.215249093006
313 - CHEST PAIN,CT,15105.176117100336,13166.594013120179
313 - CHEST PAIN,PA,25947.754993736587,8754.366632655467
315 - HEADACHE,AK,16929.012593841624,14088.983209089161
315 - HEADACHE,MN,38043.94950423984,14633.673845126259
314 - ABDOMINAL PAIN,NC,33617.28095336451,9030.80372147277
316 - FEVER,KY,44374.44596236932,5107.497375946058
316 - FEVER,ME,8723.22365691822,10903.470107557132
315 - HEADACHE,CO,46178.75000111337,14705.259478242848
316 - FEVER,PA,18200.68820015403,13465.762318306499
316 - FEVER,NM,27081.245566714282,13341.78211375089
313 - CHEST PAIN,WA,24737.514617283967,14205.816201687385
315 - HEADACHE,MD,39214.02429969908,13727.427126630564
317 - BACK PAIN,MS,23914.998924432915,12315.379968219515
315 - HEADACHE,OK,47459.891554223424,11619.273985941927
317 - BACK PAIN,IN,45614.0247187359,6177.206084937052
313 - CHEST PAIN,VT,44247.251838627795,10456.080257141391
314 - ABDOMINAL PAIN,NJ,8206.624969170254,9257.863460470675
316 - FEVER,PA,43441.61276992728,13343.329098971893
313 - CHEST PAIN,MN,40173.59504494447,8900.550881880863
316 - FEVER,WI,9658.082615275896,4532.913162512269
314 - ABDOMINAL PAIN,PA,9833.644644629985,3059.66982386819
314 - ABDOMINAL PAIN,GA,9552.371518289354,11134.477445623983
313 - CHEST PAIN,SD,5509.966694201939,9598.900645525937
314 - ABDOMINAL PAIN,MD,29688.54373375626,6971.55485230138
317 - BACK PAIN,SC,48802.743114621946,5027.665800454684
314 - ABDOMINAL PAIN,CT,24740.81163049071,8600.583868846825
316 - FEVER,WI,29334.087584931036,4203.437669746868
316 - FEVER,KS,48558.640854648,7033.301870653717
316 - FEVER,MA,16483.200294840382,7550.542874827613
316 - FEVER,GA,43631.161366921835,8587.424338055545
317 - BACK PAIN,NC,29587.571024528126,8599.449016066163
315 - HEADACHE,CA,30626.443159835482,6084.067721691326
313 - CHEST PAIN,CA,20442.823574327762,13202.531779223851
316 - FEVER,ME,30271.296243510864,7266.522075080947
314 - ABDOMINAL PAIN,CO,8291.412926522777,5755.0477067101965
316 - FEVER,MA,39408.96076763505,5109.718600927083
314 - ABDOMINAL PAIN,MS,17810.949269492223,6870.940734040027
314 - ABDOMINAL PAIN,ID,44942.37482722797,3810.6345957304125
316 - FEVER,RI,21553.28125733563,3394.89027577166
317 - BACK PAIN,MN,11427.084971909717,10261.706361634413
314 - ABDOMINAL PAIN,CA,36314.67084658182,10429.765632590279
314 - ABDOMINAL PAIN,NJ,12406.016512107628,9355.058431659476
316 - FEVER,VA,38915.62319943457,12147.422342780692
314 - ABDOMINAL PAIN,OK,48565.05063827524,3469.806531324936
314 - ABDOMINAL PAIN,IN,40079.87909578678,14231.677298513612
316 - FEVER,UT,6010.21617940961,4140.781479084726
316 - FEVER,GA,31994.86046237486,11088.275932723123
313 - CHEST PAIN,UT,36293.480193637595,4600.759067289711
317 - BACK PAIN,NY,42145.62466083284,13558.865199693508
317 - BACK PAIN,DE,7520.103902255007,9128.559443340375
314 - ABDOMINAL PAIN,CA,26604.852257852886,3987.522492215712
317 - BACK PAIN,MD,29091.689268727747,10400.689352400883
314 - ABDOMINAL PAIN,UT,12610.618818988012,3109.3193265864197
313 - CHEST PAIN,NM,19510.24143697923,12312.266141282935
316 - FEVER,NY,24809.977681527434,10807.01983975348
316 - FEVER,OR,42494.435958101065,5551.496992362087
316 - FEVER,MI,46823.34047315931,7497.010994113124
317 - BACK PAIN,NY,33279.02730129528,3093.680333866683
313 - CHEST PAIN,MD,22772.533370965793,11324.20577965446
317 - BACK PAIN,NY,16431.395800954368,6872.017650116631
317 - BACK PAIN,NC,49196.08329962677,9859.066983560631
313 - CHEST PAIN,AK,49235.89991343613,14480.731534973555
313 - CHEST PAIN,HI,46623.96267057656,6593.60055537102
313 - CHEST PAIN,AK,40355.11174450187,14882.85460904782
313 - CHEST PAIN,AK,19660.07946855282,10592.740632090798
316 - FEVER,MO,41765.02175739338,5905.06399542606
315 - HEADACHE,LA,23395.685777202765,8241.334596255092
315 - HEADACHE,NC,19704.789416977033,11885.437468603077
313 - CHEST PAIN,KY,38518.94113098258,8357.734892196975
315 - HEADACHE,KY,8584.42674291903,3822.0908080986287
315 - HEADACHE,WV,7185.322548304776,5023.243936590508
313 - CHEST PAIN,SD,25157.91637315335,12495.572949407346
315 - HEADACHE,NY,25053.746036997287,10780.476908616736
317 - BACK PAIN,VT,45303.986887872576,9837.905727985606
314 - ABDOMINAL PAIN,MO,10676.889332951756,5011.463649064815
314 - ABDOMINAL PAIN,AL,10547.776735358577,13053.089344204072
313 - CHEST PAIN,ID,11635.367021370552,14528.881315035002
316 - FEVER,MI,6338.131758257117,3490.6451698880346
313 - CHEST PAIN,CA,8227.928201670877,3936.382447846264
316 - FEVER,DE,34694.14400730676,13616.694039774777
314 - ABDOMINAL PAIN,NE,24421.294810287916,12786.627048385539
313 - CHEST PAIN,WI,39362.13801896061,10415.213466135523
317 - BACK PAIN,CA,49666.89733617471,14339.582507833655
315 - HEADACHE,IL,34656.56064945506,10757.166935904039
316 - FEVER,NY,7270.5006779055675,5591.823308754039
315 - HEADACHE,LA,9705.328913945368,11743.707884602802
315 - HEADACHE,OH,44645.183816661855,10748.524136947646
313 - CHEST PAIN,ID,28737.31750512177,14828.936424120353
315 - HEADACHE,NH,42117.6721728083,5566.7488364975015
317 - BACK PAIN,NC,43547.55513012167,10174.619236351187
315 - HEADACHE,AL,46745.354367478365,12362.01026670147
313 - CHEST PAIN,WI,47742.31424688646,7067.797072058049
317 - BACK PAIN,NH,29967.16084264878,7556.154997178852
314 - ABDOMINAL PAIN,UT,20345.907751521525,13654.822059939848
315 - HEADACHE,DE,48283.91934565994,7850.338555306576
313 - CHEST PAIN,AK,29633.288270055138,10496.794222747372
314 - ABDOMINAL PAIN,UT,7891.372532957497,13670.857650321906
314 - ABDOMINAL PAIN,MO,33924.944752693926,5517.9189970867355
316 - FEVER,CA,31445.813767775486,14782.527556231269
317 - BACK PAIN,VA,45310.67928026177,11423.44240764391
315 - HEADACHE,MD,34393.423512101566,8953.460329697336
313 - CHEST PAIN,NE,20707.359100769812,8171.046772211972
316 - FEVER,ID,48480.15765676192,14452.375386618054
317 - BACK PAIN,TN,41072.87686919151,5468.6979303559965
